CampaignID,SendDate,SendHour,AudienceSize,Subject,TopKeywords,OpenRate,ClickRate,ConversionRate,DeviceType,CustomerSegment,CampaignType
CMP11935,2025-07-10,21,1000,must-have — offres limitées aujourd’hui,"coulisses, tendances, incontournable, édition limitée, sélection, inspiration",16.2,1.31,0.0,Mobile,Returning,Newsletter
CMP16494,2023-10-14,10,1000,commande : jusqu’à 10% de remise !,"sauvegardé, disponible, attention, vérifiez, votre sélection, poursuivez",23.33,3.09,0.0,Mobile,Returning,Reminder
CMP11720,2023-10-19,8,10000,innovation pour vous — 6 jours seulement,"must-have, newsletter, collaboration, story, tendances, guide",0.5,2.71,0.0,Mobile,Inactive,Newsletter
CMP19120,2024-12-15,9,2000,promo : découvrez nos nouveautés,"client, craquez, exceptionnelle, gagnez, deal, gratuit",10.84,1.61,0.0,Mobile,Inactive,Promotion
CMP10360,2023-11-16,5,2000,avantage — livraison gratuite,"prix, pack, soldes, essai, anniversaire, rabais",3.84,0.71,0.0,Desktop,New,Promotion
CMP19663,2025-02-15,15,5000,meilleur sur nos best-sellers,"offre, duo pack, rabais, prix, craquez, exceptionnelle",21.48,0.61,0.0,Mobile,Returning,Promotion
CMP15277,2024-03-26,14,500,noël : nos clients adorent ❤️,"tenue, été, maman, partage, illuminez, rentrée",29.62,1.91,0.0,Mobile,Returning,Seasonal
CMP18546,2023-04-08,9,1000,décoration : découvrez nos nouveautés,"édition, instant, cyber monday, vacances, papa, noël",31.5,5.6,0.51,Mobile,Returning,Seasonal
CMP12221,2025-05-07,12,2000,guide — offres limitées aujourd’hui,"blog, astuces, interview, concept, lookbook, décryptage",11.65,1.64,0.0,Mobile,Inactive,Newsletter
CMP14617,2023-12-27,6,5000,poursuivez : nos clients adorent,"terminer, bénéficiez, réassort, revenez, votre achat, avant",18.81,4.68,0.44,Desktop,Returning,Reminder
CMP13465,2023-04-03,6,1000,inspiration sur nos best-sellers,"créatif, must-have, collaboration, coulisses, concept, bestseller",16.25,1.95,0.0,Mobile,Returning,Newsletter
CMP11408,2025-05-24,5,20000,limité : découvrez nos nouveautés,"encore disponible, avant, vérifiez, commande, terminer, revenez",12.68,3.96,0.0,Mobile,Returning,Reminder
CMP10468,2025-08-02,4,1000,vente pour vous — 4 jours seulement,"vente, soldes, économie, exceptionnelle, gratuit, flash",10.18,1.23,0.62,Mobile,Returning,Promotion
CMP11175,2025-06-08,21,2000,remise — offres limitées aujourd’hui,"soldes, coupon, profitez, exceptionnelle, nouvelle, cadeau",20.99,3.78,0.73,Desktop,New,Promotion
CMP15224,2024-09-16,12,2000,craquez : découvrez nos nouveautés,"satisfaction, bonus, économie, fidélité, baisse, essai",12.37,1.98,0.06,Desktop,Returning,Promotion
CMP18128,2024-08-29,1,5000,focus : découvrez nos nouveautés,"inspiration, retour client, innovation, lookbook, collection, articles",3.29,2.57,0.0,Mobile,Inactive,Newsletter
CMP10424,2023-03-11,0,2000,découvrez — offres limitées aujourd’hui,"partage, blog, lancement, décryptage, coulisses, collaboration",8.5,0.5,0.55,Mobile,Returning,Newsletter
